,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
4133,3,2012,938,ACA,4219.8,2967.3,5553.7
4134,3,2013,985,ACA,4131.9,2503.7,5465.9
4136,3,2015,966,ACA,4168.5,2696.8,5502.5
4138,3,2017,925,ACA,4256.7,3102.5,5568.0
4141,3,2020,1055,ACA,4000.2,1808.2,5334.1
4143,3,2022,1016,ACA,4073.4,2194.6,5407.3
4149,3,2028,1035,ACA,4074.4,2020.7,5340.4
4150,3,2029,1034,ACA,4051.7,2020.7,5363.0
4154,3,2033,970,ACA,4161.2,2658.2,5495.1
4157,3,2036,993,ACA,4117.3,2426.4,5451.2
4159,3,2038,1050,ACA,4045.1,1866.1,5311.1
4162,3,2041,997,ACA,4110.0,2387.7,5443.9
4163,3,2042,1036,ACA,4036.8,2001.4,5370.7
4164,3,2043,944,ACA,4220.1,2909.3,5531.4
4165,3,2044,1043,ACA,4059.7,1943.4,5325.8
4171,3,2050,1003,ACA,4110.3,2329.8,5421.6
4172,3,2051,985,ACA,4131.9,2503.7,5465.9
4173,3,2052,1032,ACA,4044.1,2040.0,5378.0
4178,3,2057,978,ACA,4169.2,2580.9,5457.9
4179,3,2058,1058,ACA,4030.4,1788.9,5296.5
4184,3,2063,978,ACA,4169.2,2580.9,5457.9
4185,3,2064,1009,ACA,4110.6,2271.8,5399.3
4187,3,2066,1016,ACA,4073.4,2194.6,5407.3
4191,3,2072,1043,ACA,4059.7,1943.4,5325.8
4962,4,989,1058,ACA,3431.7,1871.9,5402.2
4966,4,995,1058,ACA,3431.7,1871.9,5402.2
4973,4,1009,1025,ACA,3318.8,2180.1,5492.5
4975,4,1013,1004,ACA,3264.3,2379.4,5569.6
4977,4,1016,1058,ACA,3431.7,1871.9,5402.2
4986,4,1027,1066,ACA,3455.6,1799.4,5378.3
4991,4,1034,1042,ACA,3361.3,2016.9,5427.4
4996,4,1041,1043,ACA,3383.9,2016.9,5450.1
5005,4,1053,1027,ACA,3336.1,2161.9,5497.9
5008,4,1059,1031,ACA,3348.0,2125.7,5485.9
5018,4,1072,1027,ACA,3336.1,2161.9,5497.9
5028,4,1085,1031,ACA,3348.0,2125.7,5485.9
5029,4,1086,1043,ACA,3383.9,2016.9,5450.1
5035,4,1097,1043,ACA,3383.9,2016.9,5450.1
5046,4,1110,1043,ACA,3383.9,2016.9,5450.1
5048,4,1115,1037,ACA,3354.6,2071.3,5456.7
5057,4,1127,1066,ACA,3455.6,1799.4,5378.3
5069,4,1144,1062,ACA,3443.6,1835.7,5390.3
5072,4,1149,1045,ACA,3373.2,1980.7,5415.5
5075,4,1157,1023,ACA,3324.1,2198.2,5509.8
5098,4,1194,1039,ACA,3371.9,2053.2,5462.0
5102,4,1202,1015,ACA,3300.2,2270.7,5533.7
5103,4,1203,1043,ACA,3383.9,2016.9,5450.1
5105,4,1205,1058,ACA,3431.7,1871.9,5402.2
5107,4,1207,1043,ACA,3383.9,2016.9,5450.1
5114,4,1222,1039,ACA,3371.9,2053.2,5462.0
5117,4,1228,1027,ACA,3336.1,2161.9,5497.9
5126,4,1248,1006,ACA,3259.0,2361.3,5552.3
5129,4,1251,1031,ACA,3348.0,2125.7,5485.9
5138,4,1268,1058,ACA,3431.7,1871.9,5402.2
5139,4,1269,1006,ACA,3259.0,2361.3,5552.3
5150,4,1291,1035,ACA,3360.0,2089.4,5474.0
5152,4,1301,1025,ACA,3318.8,2180.1,5492.5
5162,4,1317,1063,ACA,3415.7,1817.5,5350.4
5163,4,1320,1027,ACA,3336.1,2161.9,5497.9
5170,4,1332,1035,ACA,3360.0,2089.4,5474.0
5171,4,1335,1063,ACA,3415.7,1817.5,5350.4
5174,4,1345,1015,ACA,3300.2,2270.7,5533.7
5180,4,1361,1015,ACA,3300.2,2270.7,5533.7
5185,4,1376,1058,ACA,3431.7,1871.9,5402.2
5186,4,1377,1058,ACA,3431.7,1871.9,5402.2
5189,4,1381,1019,ACA,3312.2,2234.4,5521.8
5194,4,1391,1016,ACA,3272.2,2252.6,5493.8
5205,4,1436,1012,ACA,3260.3,2288.8,5505.8
5210,4,1447,1010,ACA,3265.6,2306.9,5523.1
5211,4,1451,999,ACA,3229.8,2415.7,5558.9
5218,4,1466,1021,ACA,3306.8,2216.3,5504.5
5221,4,1469,1043,ACA,3383.9,2016.9,5450.1
5224,4,1476,1010,ACA,3265.6,2306.9,5523.1
5231,4,1490,1020,ACA,3284.2,2216.3,5481.9
5246,4,1535,1062,ACA,3443.6,1835.7,5390.3
5253,4,1553,999,ACA,3229.8,2415.7,5558.9
5267,4,1567,1012,ACA,3260.3,2288.8,5505.8
11228,11,437,663,ACA,3059.4,2451.4,5348.1
11231,11,441,680,ACA,3037.8,2277.5,5303.8
11289,11,541,660,ACA,3051.7,2470.7,5363.0
11292,11,547,655,ACA,3074.0,2528.7,5362.7
11295,11,553,662,ACA,3036.8,2451.4,5370.7
11296,11,554,684,ACA,3030.4,2238.9,5296.5
11300,11,575,670,ACA,3022.1,2374.1,5356.1
11301,11,578,677,ACA,3007.5,2296.8,5341.4
11312,11,613,674,ACA,3037.4,2335.5,5326.1
11316,11,627,678,ACA,3030.1,2296.8,5318.8
11317,11,633,662,ACA,3036.8,2451.4,5370.7
11328,11,662,660,ACA,3051.7,2470.7,5363.0
11376,11,738,659,ACA,3066.7,2490.0,5355.4
